Symptoms,Severity
decompensated kidney weakness,High
uncontrolled progressive back rash,High
severe acute case of abdomen burns,High
crushing episodic shoulder rash,High
uncontrolled slight case of throat fracture,High
toxic severe episode of head tremor,High
persistent high-grade kidney lesion,High
intense liver lesion,High
intense progressive nose swelling,High
hemorrhagic leg swelling,High
acute kidney palpitations,High
massive chronic shoulder rash,High
hemorrhagic liver inflammation,High
toxic occasional chest weakness,High
sharp recurring neck ulcer,High
intense recurring stomach lesion,High
sharp sudden onset of hand fatigue,High
sharp head failure,High
advanced eye swelling,High
intense shoulder lesion,High
acute chronic lung spasm,High
hemorrhagic liver cramps,High
advanced lung shock,High
rapid onset abdomen congestion,High
sharp arm rash,High
life-threatening back spasm,High
uncontrolled foot infection,High
massive constant shoulder infection,High
severe sudden onset of ear bleeding,High
decompensated slight case of ear palpitations,High
toxic occasional shoulder inflammation,High
critical chronic knee infection,High
persistent high-grade kidney cramps,High
advanced slight case of throat swelling,High
terminal sudden onset of throat fatigue,High
massive ear tremor,High
acute nose rash,High
toxic nose congestion,High
terminal sudden arm palpitations,High
toxic acute case of shoulder burns,High
persistent high-grade liver swelling,High
critical constant head fatigue,High
acute arm stiffness,High
explosive progressive foot fatigue,High
acute foot ulcer,High
toxic recurring neck fracture,High
crushing shoulder obstruction,High
massive recurring kidney ulcer,High
uncontrolled foot palpitations,High
uncontrolled constant kidney tremor,High
critical acute case of foot pain,High
uncontrolled foot cramps,High
intense nose stiffness,High
decompensated gradual hand pain,High
intense severe episode of back fracture,High
explosive hand tremor,High
severe constant ear pain,High
life-threatening constant chest tremor,High
crushing liver cramps,High
acute shoulder rash,High
intense sudden shoulder trauma,High
intense sudden back ulcer,High
sharp knee palpitations,High
uncontrolled arm obstruction,High
sharp episodic chest obstruction,High
crushing sudden onset of kidney lesion,High
massive sudden onset of neck infection,High
explosive lung ulcer,High
explosive severe episode of eye numbness,High
profuse throat infection,High
severe episodic hand stiffness,High
uncontrolled ear bleeding,High
rapid onset constant abdomen pain,High
terminal neck tremor,High
rapid onset occasional throat numbness,High
acute severe episode of shoulder tremor,High
life-threatening arm trauma,High
massive sudden leg weakness,High
toxic slight case of heart numbness,High
rapid onset progressive neck infection,High
rapid onset recurring lung fatigue,High
persistent high-grade progressive head inflammation,High
intense throat palpitations,High
crushing head palpitations,High
massive foot rash,High
intense chest inflammation,High
terminal leg weakness,High
intense kidney trauma,High
explosive kidney spasm,High
uncontrolled progressive foot fracture,High
hemorrhagic recurring heart weakness,High
explosive abdomen swelling,High
decompensated chronic arm cramps,High
profuse slight case of lung tremor,High
rapid onset episodic chest obstruction,High
sharp foot stiffness,High
toxic back numbness,High
life-threatening severe episode of foot lesion,High
persistent high-grade head rash,High
acute constant hand tremor,High
intense chest palpitations,High
terminal episodic throat pain,High
severe gradual leg inflammation,High
persistent high-grade liver obstruction,High
critical leg failure,High
decompensated nose rash,High
massive severe episode of head fracture,High
terminal slight case of head obstruction,High
toxic neck lesion,High
terminal shoulder infection,High
severe episodic head tremor,High
terminal sudden heart swelling,High
crushing constant abdomen fracture,High
life-threatening slight case of stomach weakness,High
persistent high-grade heart bleeding,High
complicated occasional head bleeding,High
advanced constant heart tremor,High
decompensated back pain,High
life-threatening occasional knee trauma,High
massive shoulder lesion,High
sharp occasional head spasm,High
severe gradual hand rash,High
persistent high-grade stomach obstruction,High
intense sudden onset of throat congestion,High
hemorrhagic progressive eye rash,High
profuse liver swelling,High
massive episodic back rash,High
advanced chronic back swelling,High
sharp sudden onset of heart bleeding,High
intense sudden hand palpitations,High
rapid onset liver tremor,High
acute sudden shoulder tremor,High
critical shoulder burns,High
complicated sudden onset of abdomen shock,High
acute nose failure,High
persistent high-grade sudden liver numbness,High
complicated eye burns,High
sharp lung cramps,High
critical arm weakness,High
persistent high-grade acute case of lung tremor,High
sharp hand shock,High
severe recurring kidney burns,High
toxic abdomen ulcer,High
critical lung tremor,High
sharp acute case of heart trauma,High
severe neck weakness,High
life-threatening chest ulcer,High
severe heart failure,High
massive sudden hand lesion,High
toxic chest ulcer,High
massive sudden arm pain,High
profuse slight case of shoulder spasm,High
advanced episodic shoulder fatigue,High
explosive eye cramps,High
life-threatening throat infection,High
severe knee bleeding,High
crushing heart burns,High
intense progressive arm weakness,High
terminal acute case of lung cramps,High
toxic hand bleeding,High
explosive stomach palpitations,High
complicated sudden onset of hand trauma,High
severe head rash,High
hemorrhagic kidney rash,High
massive slight case of neck inflammation,High
hemorrhagic eye infection,High
intense chronic neck bleeding,High
life-threatening sudden onset of chest numbness,High
acute constant arm burns,High
complicated sudden ear shock,High
terminal kidney weakness,High
massive abdomen bleeding,High
explosive chronic hand shock,High
explosive sudden chest spasm,High
sharp chronic abdomen palpitations,High
sharp knee infection,High
sharp recurring leg shock,High
advanced throat fatigue,High
crushing sudden heart fracture,High
intense chest spasm,High
hemorrhagic severe episode of arm rash,High
explosive episodic ear trauma,High
life-threatening occasional knee tremor,High
crushing constant eye burns,High
advanced chronic back spasm,High
profuse kidney bleeding,High
acute lung numbness,High
terminal lung spasm,High
advanced chest numbness,High
complicated chest numbness,High
critical chronic neck rash,High
decompensated occasional kidney bleeding,High
severe recurring eye inflammation,High
explosive severe episode of neck cramps,High
explosive arm rash,High
explosive constant shoulder numbness,High
intense heart swelling,High
critical throat weakness,High
explosive constant hand stiffness,High
persistent high-grade leg trauma,High
life-threatening sudden eye numbness,High
decompensated recurring back inflammation,High
life-threatening abdomen trauma,High
intense lung inflammation,High
sharp hand stiffness,High
terminal chronic head shock,High
acute arm stiffness,High
profuse acute case of nose fatigue,High
crushing chronic eye numbness,High
persistent high-grade leg fatigue,High
intense eye fracture,High
toxic chronic foot bleeding,High
profuse kidney lesion,High
profuse neck bleeding,High
life-threatening gradual nose palpitations,High
toxic slight case of throat congestion,High
advanced abdomen fracture,High
intense throat numbness,High
decompensated foot trauma,High
massive slight case of abdomen rash,High
uncontrolled severe episode of head ulcer,High
severe back trauma,High
crushing episodic chest stiffness,High
explosive gradual foot shock,High
profuse progressive eye lesion,High
massive episodic abdomen tremor,High
crushing recurring arm numbness,High
terminal constant heart congestion,High
rapid onset constant abdomen pain,High
persistent high-grade chronic neck spasm,High
sharp liver fatigue,High
hemorrhagic back stiffness,High
profuse episodic stomach spasm,High
intense chest obstruction,High
critical arm weakness,High
critical leg inflammation,High
decompensated constant stomach bleeding,High
persistent high-grade chronic arm congestion,High
critical liver lesion,High
profuse throat fatigue,High
terminal stomach failure,High
complicated liver shock,High
hemorrhagic acute case of stomach swelling,High
toxic hand burns,High
profuse nose numbness,High
life-threatening throat bleeding,High
massive stomach infection,High
toxic liver palpitations,High
rapid onset recurring liver palpitations,High
profuse hand inflammation,High
decompensated shoulder burns,High
severe constant ear numbness,High
rapid onset constant back swelling,High
rapid onset liver fracture,High
intense leg burns,High
massive chronic hand failure,High
complicated ear pain,High
sharp lung stiffness,High
crushing recurring ear bleeding,High
sharp acute case of throat ulcer,High
uncontrolled sudden foot swelling,High
critical sudden onset of eye spasm,High
sharp gradual lung bleeding,High
acute head fracture,High
severe episodic head spasm,High
intense progressive nose swelling,High
explosive foot trauma,High
massive slight case of leg burns,High
uncontrolled knee spasm,High
massive sudden onset of arm rash,High
persistent high-grade throat shock,High
explosive throat trauma,High
intense hand numbness,High
rapid onset episodic chest fracture,High
explosive throat spasm,High
decompensated kidney ulcer,High
terminal shoulder palpitations,High
toxic back infection,High
explosive chronic nose numbness,High
severe chest weakness,High
intense back weakness,High
explosive nose trauma,High
hemorrhagic lung palpitations,High
massive progressive abdomen shock,High
life-threatening nose lesion,High
uncontrolled progressive eye swelling,High
sharp heart bleeding,High
acute liver weakness,High
hemorrhagic ear spasm,High
rapid onset heart stiffness,High
explosive hand ulcer,High
rapid onset chronic foot tremor,High
uncontrolled heart failure,High
explosive sudden onset of stomach failure,High
toxic chest stiffness,High
critical throat stiffness,High
life-threatening stomach fracture,High
life-threatening severe episode of stomach trauma,High
toxic leg rash,High
toxic chronic back obstruction,High
rapid onset episodic back congestion,High
toxic progressive lung infection,High
intense stomach cramps,High
severe liver fatigue,High
terminal lung infection,High
decompensated constant eye burns,High
decompensated recurring ear spasm,High
decompensated kidney swelling,High
intense ear weakness,High
hemorrhagic knee lesion,High
complicated sudden onset of liver weakness,High
persistent high-grade sudden onset of leg numbness,High
explosive slight case of nose fracture,High
intense liver cramps,High
sharp back infection,High
rapid onset chest stiffness,High
critical sudden kidney spasm,High
persistent high-grade shoulder inflammation,High
life-threatening sudden onset of arm pain,High
intense sudden back fatigue,High
crushing occasional hand lesion,High
life-threatening sudden kidney shock,High
uncontrolled severe episode of leg spasm,High
critical constant stomach obstruction,High
critical recurring back numbness,High
acute hand pain,High
complicated throat rash,High
explosive severe episode of arm fracture,High
hemorrhagic gradual stomach ulcer,High
uncontrolled leg cramps,High
intense recurring neck weakness,High
rapid onset severe episode of neck swelling,High
persistent high-grade back numbness,High
uncontrolled ear palpitations,High
persistent high-grade stomach congestion,High
massive severe episode of heart obstruction,High
critical foot numbness,High
acute progressive neck stiffness,High
toxic knee stiffness,High
sharp recurring abdomen trauma,High
persistent high-grade constant stomach tremor,High
acute constant neck shock,High
persistent high-grade severe episode of nose failure,High
persistent high-grade severe episode of throat tremor,High
complicated kidney trauma,High
severe constant abdomen ulcer,High
profuse chest swelling,High
complicated sudden leg palpitations,High
terminal eye palpitations,High
critical chest palpitations,High
crushing occasional head cramps,High
sharp constant arm congestion,High
life-threatening occasional nose stiffness,High
decompensated severe episode of eye stiffness,High
sharp leg stiffness,High
decompensated severe episode of knee pain,High
complicated chronic head tremor,High
severe lung pain,High
toxic episodic ear burns,High
intense acute case of chest lesion,High
explosive severe episode of neck pain,High
life-threatening slight case of shoulder ulcer,High
rapid onset recurring nose rash,High
profuse acute case of foot infection,High
toxic chronic nose spasm,High
advanced arm cramps,High
life-threatening recurring nose burns,High
terminal leg swelling,High
intense episodic abdomen tremor,High
complicated leg rash,High
crushing liver inflammation,High
advanced episodic arm fatigue,High
complicated sudden onset of ear lesion,High
massive progressive leg pain,High
profuse shoulder trauma,High
profuse abdomen fatigue,High
intense hand rash,High
severe stomach burns,High
terminal gradual kidney burns,High
decompensated occasional head burns,High
severe sudden onset of chest failure,High
uncontrolled sudden abdomen rash,High
uncontrolled chronic back obstruction,High
uncontrolled chronic back trauma,High
massive hand ulcer,High
complicated lung shock,High
toxic recurring knee pain,High
rapid onset knee shock,High
acute occasional foot numbness,High
hemorrhagic progressive head lesion,High
explosive progressive back tremor,High
advanced head cramps,High
complicated shoulder infection,High
life-threatening gradual leg cramps,High
decompensated sudden leg swelling,High
decompensated eye pain,High
complicated gradual neck obstruction,High
hemorrhagic shoulder congestion,High
rapid onset acute case of nose cramps,High
intense foot congestion,High
decompensated constant abdomen fracture,High
explosive lung failure,High
massive severe episode of throat congestion,High
severe foot numbness,High
explosive chronic lung obstruction,High
explosive back cramps,High
critical ear fracture,High
life-threatening knee infection,High
complicated gradual leg fatigue,High
life-threatening gradual chest weakness,High
explosive stomach fatigue,High
intense chronic chest stiffness,High
uncontrolled sudden chest bleeding,High
life-threatening nose inflammation,High
complicated nose stiffness,High
life-threatening stomach infection,High
massive occasional lung congestion,High
critical chronic eye spasm,High
acute foot lesion,High
uncontrolled lung bleeding,High
rapid onset knee congestion,High
persistent high-grade foot fatigue,High
massive acute case of arm trauma,High
critical progressive hand fracture,High
rapid onset leg ulcer,High
life-threatening chest bleeding,High
sharp episodic heart fatigue,High
massive knee burns,High
uncontrolled episodic heart fracture,High
sharp neck rash,High
uncontrolled neck palpitations,High
critical recurring lung congestion,High
decompensated recurring leg trauma,High
rapid onset acute case of heart lesion,High
severe acute case of throat congestion,High
advanced chest palpitations,High
severe constant chest cramps,High
terminal head cramps,High
sharp chronic neck congestion,High
toxic arm cramps,High
complicated constant eye inflammation,High
life-threatening neck bleeding,High
terminal constant neck stiffness,High
life-threatening recurring nose obstruction,High
rapid onset episodic heart rash,High
decompensated chest obstruction,High
explosive progressive liver spasm,High
toxic occasional foot trauma,High
toxic back tremor,High
advanced recurring chest lesion,High
crushing lung shock,High
acute arm lesion,High
complicated episodic back inflammation,High
terminal acute case of liver numbness,High
persistent high-grade progressive stomach stiffness,High
critical shoulder rash,High
persistent high-grade progressive knee spasm,High
explosive hand weakness,High
rapid onset liver swelling,High
advanced episodic abdomen spasm,High
severe stomach tremor,High
massive knee infection,High
critical acute case of hand failure,High
advanced progressive back swelling,High
acute chest weakness,High
intense hand shock,High
persistent high-grade hand spasm,High
life-threatening sudden onset of knee weakness,High
hemorrhagic gradual neck inflammation,High
explosive episodic leg inflammation,High
crushing severe episode of throat fatigue,High
intense chest spasm,High
uncontrolled slight case of arm trauma,High
advanced constant throat numbness,High
rapid onset occasional foot obstruction,High
rapid onset constant leg inflammation,High
decompensated shoulder obstruction,High
sharp nose fracture,High
life-threatening abdomen shock,High
advanced stomach rash,High
persistent high-grade gradual back stiffness,High
profuse episodic kidney pain,High
severe eye congestion,High
profuse gradual leg obstruction,High
complicated occasional knee ulcer,High
crushing occasional ear swelling,High
explosive abdomen spasm,High
terminal foot ulcer,High
crushing acute case of ear shock,High
toxic kidney infection,High
explosive arm cramps,High
life-threatening recurring nose stiffness,High
toxic arm failure,High
advanced sudden arm inflammation,High
profuse neck rash,High
uncontrolled sudden stomach pain,High
life-threatening abdomen numbness,High
explosive occasional liver congestion,High
profuse shoulder tremor,High
terminal foot stiffness,High
critical episodic hand fatigue,High
crushing hand burns,High
sharp occasional lung obstruction,High
life-threatening leg infection,High
advanced progressive leg congestion,High
intense chronic eye congestion,High
rapid onset gradual head shock,High
massive severe episode of eye fracture,High
massive constant hand swelling,High
rapid onset slight case of eye infection,High
complicated heart tremor,High
explosive acute case of back swelling,High
hemorrhagic episodic eye inflammation,High
explosive shoulder congestion,High
uncontrolled occasional chest obstruction,High
acute chronic nose bleeding,High
advanced shoulder fatigue,High
severe foot spasm,High
persistent high-grade occasional nose obstruction,High
complicated lung fatigue,High
decompensated arm burns,High
profuse back shock,High
critical lung inflammation,High
life-threatening gradual eye burns,High
sharp throat rash,High
profuse recurring abdomen bleeding,High
acute neck rash,High
life-threatening foot rash,High
complicated shoulder cramps,High
massive lung failure,High
complicated acute case of head failure,High
crushing arm spasm,High
critical shoulder tremor,High
sharp knee numbness,High
severe leg ulcer,High
critical acute case of head pain,High
severe kidney fracture,High
intense throat numbness,High
complicated stomach failure,High
severe leg failure,High
advanced knee fracture,High
acute occasional ear lesion,High
sharp constant abdomen shock,High
massive progressive foot stiffness,High
decompensated chest ulcer,High
uncontrolled recurring liver stiffness,High
explosive foot congestion,High
severe occasional head stiffness,High
massive gradual kidney fracture,High
advanced occasional liver spasm,High
sharp leg rash,High
critical head fatigue,High
advanced slight case of chest spasm,High
explosive nose fatigue,High
complicated lung weakness,High
persistent high-grade recurring arm congestion,High
toxic gradual back fatigue,High
complicated shoulder numbness,High
advanced liver fatigue,High
terminal leg bleeding,High
profuse chronic back cramps,High
hemorrhagic knee fracture,High
intense knee swelling,High
terminal leg tremor,High
uncontrolled sudden onset of ear infection,High
terminal acute case of hand rash,High
acute chronic head burns,High
acute slight case of ear stiffness,High
persistent high-grade hand numbness,High
massive episodic stomach stiffness,High
advanced abdomen numbness,High
crushing neck tremor,High
rapid onset constant kidney lesion,High
intense kidney burns,High
massive neck rash,High
critical liver failure,High
rapid onset leg rash,High
acute sudden back infection,High
uncontrolled chronic shoulder tremor,High
rapid onset neck rash,High
complicated lung fracture,High
intense lung tremor,High
critical severe episode of chest failure,High
critical severe episode of hand ulcer,High
intense occasional arm pain,High
decompensated stomach shock,High
decompensated chronic knee cramps,High
intense arm burns,High
crushing knee trauma,High
acute eye bleeding,High
profuse slight case of shoulder bleeding,High
complicated slight case of nose pain,High
explosive lung inflammation,High
rapid onset constant nose ulcer,High
acute leg ulcer,High
hemorrhagic gradual ear obstruction,High
intense severe episode of throat congestion,High
sharp occasional knee inflammation,High
crushing sudden onset of throat ulcer,High
complicated occasional heart ulcer,High
severe occasional neck shock,High
sharp sudden lung spasm,High
rapid onset occasional stomach stiffness,High
decompensated back trauma,High
explosive knee infection,High
life-threatening slight case of shoulder stiffness,High
massive episodic nose infection,High
persistent high-grade occasional shoulder bleeding,High
terminal sudden onset of shoulder bleeding,High
toxic occasional eye failure,High
complicated acute case of knee palpitations,High
profuse acute case of chest tremor,High
critical gradual leg spasm,High
decompensated abdomen rash,High
toxic chest numbness,High
explosive sudden onset of nose swelling,High
crushing constant kidney weakness,High
explosive occasional stomach spasm,High
crushing foot fracture,High
massive episodic head tremor,High
critical constant arm weakness,High
acute slight case of nose spasm,High
advanced foot pain,High
intense heart congestion,High
advanced chronic arm tremor,High
intense episodic chest burns,High
terminal ear failure,High
rapid onset throat fracture,High
critical episodic lung swelling,High
intense abdomen failure,High
toxic lung inflammation,High
critical neck shock,High
massive neck inflammation,High
toxic arm failure,High
decompensated foot failure,High
terminal occasional head obstruction,High
explosive kidney spasm,High
sharp chronic chest rash,High
severe shoulder lesion,High
life-threatening head congestion,High
decompensated chronic arm obstruction,High
intense gradual leg congestion,High
toxic sudden head palpitations,High
uncontrolled stomach cramps,High
profuse sudden leg congestion,High
terminal occasional lung cramps,High
explosive heart fatigue,High
intense episodic heart stiffness,High
uncontrolled stomach shock,High
complicated hand cramps,High
critical constant ear shock,High
complicated severe episode of lung inflammation,High
critical stomach numbness,High
intense kidney palpitations,High
hemorrhagic hand palpitations,High
massive slight case of leg shock,High
hemorrhagic occasional ear burns,High
terminal gradual ear pain,High
intense chronic lung failure,High
explosive hand palpitations,High
hemorrhagic nose failure,High
severe chronic shoulder swelling,High
severe head inflammation,High
rapid onset stomach numbness,High
toxic kidney trauma,High
critical occasional leg swelling,High
terminal hand pain,High
persistent high-grade sudden chest fatigue,High
decompensated abdomen obstruction,High
persistent high-grade eye failure,High
advanced back bleeding,High
critical acute case of leg trauma,High
severe occasional back tremor,High
intense gradual back infection,High
toxic recurring nose swelling,High
sharp gradual heart spasm,High
severe knee pain,High
complicated ear shock,High
critical sudden onset of nose failure,High
sharp severe episode of heart burns,High
intense occasional abdomen palpitations,High
massive throat pain,High
hemorrhagic progressive leg shock,High
critical eye failure,High
terminal arm rash,High
uncontrolled constant kidney palpitations,High
uncontrolled progressive leg rash,High
hemorrhagic sudden throat bleeding,High
acute neck weakness,High
life-threatening hand lesion,High
crushing eye swelling,High
acute lung lesion,High
terminal nose cramps,High
intense progressive shoulder obstruction,High
profuse throat fracture,High
intense acute case of lung lesion,High
rapid onset gradual abdomen fatigue,High
persistent high-grade chronic hand bleeding,High
massive shoulder cramps,High
massive chronic nose congestion,High
explosive stomach tremor,High
complicated throat spasm,High
hemorrhagic nose pain,High
crushing ear fracture,High
acute recurring kidney inflammation,High
massive eye trauma,High
sharp gradual arm infection,High
crushing chronic liver swelling,High
massive slight case of arm cramps,High
rapid onset constant foot congestion,High
massive nose failure,High
persistent high-grade progressive neck lesion,High
massive sudden onset of back bleeding,High
crushing ear ulcer,High
persistent high-grade throat shock,High
severe leg cramps,High
hemorrhagic kidney cramps,High
persistent high-grade nose bleeding,High
uncontrolled progressive abdomen stiffness,High
acute progressive neck shock,High
complicated throat stiffness,High
intense kidney spasm,High
persistent high-grade kidney ulcer,High
toxic acute case of ear inflammation,High
uncontrolled shoulder inflammation,High
massive abdomen palpitations,High
rapid onset kidney pain,High
sharp sudden onset of knee burns,High
advanced chronic kidney congestion,High
severe recurring back infection,High
acute neck fracture,High
complicated occasional eye fracture,High
acute gradual neck infection,High
persistent high-grade episodic leg congestion,High
advanced acute case of abdomen lesion,High
advanced eye pain,High
sharp chronic neck fracture,High
massive progressive foot trauma,High
severe chest infection,High
hemorrhagic progressive neck palpitations,High
profuse episodic leg stiffness,High
advanced progressive shoulder weakness,High
explosive back spasm,High
terminal kidney fatigue,High
hemorrhagic liver fatigue,High
decompensated gradual stomach weakness,High
complicated chronic arm fracture,High
sharp nose tremor,High
rapid onset head obstruction,High
sharp sudden hand palpitations,High
decompensated constant lung lesion,High
uncontrolled sudden liver numbness,High
toxic throat ulcer,High
toxic liver ulcer,High
advanced chronic foot pain,High
intense sudden onset of knee pain,High
severe lung weakness,High
explosive throat cramps,High
explosive shoulder trauma,High
explosive severe episode of throat obstruction,High
uncontrolled shoulder failure,High
uncontrolled ear fatigue,High
life-threatening chest swelling,High
profuse stomach trauma,High
intense arm trauma,High
intense sudden onset of throat weakness,High
hemorrhagic foot tremor,High
severe progressive foot pain,High
explosive occasional eye lesion,High
hemorrhagic neck obstruction,High
hemorrhagic slight case of knee trauma,High
massive recurring nose rash,High
advanced acute case of arm fatigue,High
massive chronic head bleeding,High
persistent high-grade ear shock,High
terminal nose congestion,High
life-threatening abdomen shock,High
uncontrolled acute case of heart fracture,High
persistent high-grade foot trauma,High
intense foot tremor,High
intense stomach weakness,High
terminal kidney infection,High
hemorrhagic hand lesion,High
terminal neck infection,High
crushing progressive head stiffness,High
acute neck burns,High
severe chronic liver fatigue,High
massive chest numbness,High
acute leg pain,High
explosive recurring kidney inflammation,High
terminal episodic back rash,High
explosive knee weakness,High
intense leg palpitations,High
persistent high-grade slight case of shoulder inflammation,High
intense arm pain,High
massive gradual chest trauma,High
uncontrolled throat failure,High
decompensated progressive head shock,High
advanced recurring knee fatigue,High
intense leg tremor,High
advanced abdomen shock,High
explosive liver failure,High
terminal severe episode of shoulder fatigue,High
profuse neck swelling,High
advanced occasional leg pain,High
decompensated heart cramps,High
profuse stomach bleeding,High
advanced ear fatigue,High
sharp eye swelling,High
persistent high-grade neck shock,High
sharp knee burns,High
profuse sudden liver pain,High
complicated slight case of liver obstruction,High
critical chronic kidney stiffness,High
terminal foot pain,High
persistent high-grade stomach shock,High
complicated acute case of heart trauma,High
complicated chronic ear bleeding,High
life-threatening head rash,High
hemorrhagic liver shock,High
decompensated chronic neck shock,High
terminal progressive leg rash,High
life-threatening acute case of nose failure,High
uncontrolled foot infection,High
uncontrolled gradual arm cramps,High
complicated stomach trauma,High
intense gradual stomach cramps,High
decompensated throat stiffness,High
toxic sudden abdomen pain,High
terminal leg spasm,High
crushing chest palpitations,High
persistent high-grade acute case of shoulder bleeding,High
profuse arm shock,High
sharp nose ulcer,High
profuse neck lesion,High
intense eye pain,High
life-threatening occasional abdomen bleeding,High
acute neck inflammation,High
critical stomach weakness,High
acute recurring kidney fatigue,High
persistent high-grade sudden throat stiffness,High
critical slight case of shoulder pain,High
toxic liver numbness,High
advanced heart stiffness,High
intense kidney stiffness,High
critical chest numbness,High
life-threatening lung burns,High
hemorrhagic hand cramps,High
sharp hand burns,High
life-threatening liver spasm,High
intense eye trauma,High
decompensated recurring ear swelling,High
rapid onset nose infection,High
severe kidney stiffness,High
rapid onset progressive neck swelling,High
profuse sudden head shock,High
massive foot fatigue,High
profuse shoulder trauma,High
severe gradual leg failure,High
decompensated constant arm spasm,High
massive lung palpitations,High
toxic stomach spasm,High
massive ear trauma,High
severe knee inflammation,High
life-threatening episodic liver trauma,High
uncontrolled acute case of abdomen numbness,High
toxic recurring knee cramps,High
decompensated back palpitations,High
uncontrolled severe episode of neck failure,High
toxic progressive lung bleeding,High
critical recurring head failure,High
life-threatening sudden onset of neck inflammation,High
decompensated stomach stiffness,High
acute episodic stomach bleeding,High
massive acute case of hand tremor,High
explosive stomach burns,High
massive head bleeding,High
crushing back pain,High
uncontrolled episodic lung fatigue,High
acute occasional kidney shock,High
terminal ear palpitations,High
advanced sudden ear shock,High
profuse severe episode of eye ulcer,High
uncontrolled sudden leg infection,High
decompensated lung stiffness,High
advanced back shock,High
hemorrhagic severe episode of kidney infection,High
rapid onset foot weakness,High
crushing liver bleeding,High
uncontrolled hand stiffness,High
terminal constant hand numbness,High
intense neck burns,High
advanced sudden throat congestion,High
severe severe episode of leg inflammation,High
severe chronic throat swelling,High
severe throat trauma,High
profuse episodic neck pain,High
crushing progressive lung fracture,High
rapid onset leg stiffness,High
rapid onset acute case of eye congestion,High
intense heart fracture,High
rapid onset progressive throat fracture,High
complicated head obstruction,High
terminal foot pain,High
persistent high-grade gradual kidney rash,High
severe slight case of foot tremor,High
life-threatening head burns,High
complicated slight case of back inflammation,High
life-threatening occasional arm cramps,High
profuse constant kidney rash,High
persistent high-grade occasional throat weakness,High
hemorrhagic heart palpitations,High
decompensated shoulder bleeding,High
advanced progressive liver swelling,High
critical back stiffness,High
rapid onset constant neck weakness,High
explosive head obstruction,High
decompensated liver pain,High
explosive occasional leg fatigue,High
profuse neck numbness,High
complicated recurring hand obstruction,High
severe episodic stomach shock,High
sharp gradual knee bleeding,High
decompensated knee tremor,High
intense acute case of nose fatigue,High
persistent high-grade leg failure,High
severe acute case of neck stiffness,High
crushing neck fracture,High
terminal knee palpitations,High
terminal episodic arm obstruction,High
life-threatening episodic foot spasm,High
critical stomach obstruction,High
terminal kidney failure,High
life-threatening severe episode of leg cramps,High
intense chronic head bleeding,High
terminal abdomen swelling,High
rapid onset lung cramps,High
profuse foot shock,High
crushing slight case of back palpitations,High
decompensated episodic kidney shock,High
critical eye fatigue,High
severe knee pain,High
uncontrolled progressive kidney rash,High
decompensated head fatigue,High
advanced lung fatigue,High
acute liver stiffness,High
critical eye swelling,High
rapid onset nose burns,High
toxic episodic ear weakness,High
hemorrhagic abdomen lesion,High
persistent high-grade sudden onset of nose spasm,High
sharp leg failure,High
hemorrhagic chest pain,High
persistent high-grade slight case of nose numbness,High
critical episodic abdomen numbness,High
profuse constant foot ulcer,High
uncontrolled kidney congestion,High
terminal recurring neck fracture,High
decompensated knee infection,High
life-threatening knee shock,High
